name,difficulty_level,exercise_type,instructions,video_url,image_url
Single-Leg Squat With Knee Tap,expert,strength,"The single-leg knee-tap squat is a single-leg squat variation that involves “floating” the back leg over the ground on the descent until touching just the knee to the ground or a pad. It is similar to a lunge, but without touching the back foot to the ground. It is an intense strength and coordination challenge that can work in any strength- or athleticism-focused workout.",,
Shuttle run,intermediate,cardio,"The shuttle run is an athletic conditioning drill that’s great for developing speed and power, as well as changing direction. It’s a favorite of football and basketball players, but it can also be great conditioning work for lifters and athletes of all ability levels.",,
Squat Isometric Hold,expert,plyometrics,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",,
Wall sit,intermediate,strength,"The wall sit is an exercise targeting the quadriceps and core muscle. It involves descending into a squat position while leaning against a wall, then holding that position for a predetermined length of time. It's a classic leg endurance-building exercise for basketball players and gymnasts.",,
Walking lunge with hip extension,intermediate,strength,"The walking lunge with hip extension is a combination of two movements, both targeting the lower body. The added hip extension places more of an emphasis on the glutes. It is a great inclusion in a dynamic warm-up for the lower body, but can also be performed for time or reps in any workout.",,
Squat with alternating side leg raise,intermediate,strength,"The squat with alternating side leg raise is a bodyweight version of the squat, but with a lateral leg lift to add extra focus to the abductor muscles. It can be performed for time or for reps as part of a dynamic warm-up for the lower body, or in any lower-body portion of a workout.",,
Lateral Squats,intermediate,strength,"The lateral lunge is a lower-body bodyweight movement that works the quads, glutes, and hamstrings. It can also be performed holding dumbbells or other weights. It is often performed for reps as part of a dynamic warm-up or mobility routine but can also work in a circuit or other workouts.",,
Walking lunge with twist,intermediate,strength,"The walking lunge with twist is an exercise that targets the lower body and the obliques. The twist not only works the obliques, it also opens up the thoracic spine. It is a great inclusion in a dynamic warm-up for a lower-body or full-body workout, but can also be performed for time or reps in any workout.",,
Boss Everline Backward Lunge Walk,intermediate,strength,,,
Reverse Diagonal Skaters,intermediate,strength,,,
FYR Air Squat,intermediate,strength,"The bodyweight squat is a fundamental exercise that strengthens the quads, glutes, and hamstrings. It can be performed as part of a dynamic warm-up, for time or reps during a workout, or for hip and spine mobility any time.",,
FYR Tuck Jump,intermediate,strength,"The tuck jump is a vertical jump, an explosive lower-body exercise that is a common way to measure explosive hip and lower-body strength in athletes. The more explosive you are, the higher you'll be able to jump.",,
Push-up sprawl tuck jump,intermediate,strength,"The push-up sprawl tuck jump is an explosive bodyweight sequence that combines three movements: the push-up, the sprawl, and the tuck jump. It is similar to a burpee, but with a tuck jump at the top. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.",,
FYR Running Lunge,intermediate,strength,"The running lunge is a dynamic exercise that targets the lower body. It combines elements of a reverse lunge with a step-up, in that the front leg fully extends and the rear leg flexes up in front of the body. It targets a wide range of muscles in the lower body, including the quads, glutes, and hamstrings. It can be performed for time or reps in any lower-body workout, or in a fat-loss or athleticism-focused circuit.",,
FYR Jumping Lunge,intermediate,strength,"The alternating lunge jump is an explosive bodyweight exercise that targets the lower-body muscles, including the quads, glutes, and hamstrings. It can be performed for time or reps in power training, and is also effective in any fat-loss or athleticism-focused workout.",,
FYR Sprawl Frog Kick,intermediate,strength,"The sprawl frog kick is an explosive bodyweight exercise that targets multiple muscle groups across the upper and lower body. It is similar to a traditional sprawl, but with an extra hop in the middle of each rep. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.",,
Jump squat-,intermediate,strength,"The jump squat is an explosive bodyweight exercise targeting the quads, hamstrings, and glutes. It is also a serious cardiovascular challenge when done for reps. It can be performed as a power exercise to build jumping power, or in any fat-loss or athleticism-focused workout.",,
FYR Sprinter Burpee,intermediate,cardio,,,
Single-leg burpee,intermediate,strength,"The single-leg burpee is an advanced variation of the burpee exercise that involves performing all parts of the sequence with one leg at a time. It is usually performed alternating legs with each rep, but could be performed one side at a time. Performing one leg at a time increases the challenge to all parts of the body, especially the working leg, core, and shoulders.",,
FYR Gorilla Squat,intermediate,strength,"The gorilla squat is a bodyweight sequence that combines two reverse lunges and a bodyweight squat. It could also be performed with dumbbells, kettlebells, or other weights. It targets most of the muscles of the lower body, including the quads, glutes, and hamstrings. It can be performed for time or reps in the lower-body portion of any workout.",,
Banded compass jump squat,intermediate,strength,"The banded compass jump squat is an explosive squat variation performed with a band around the thighs just above the knees. This increases muscle activation in the hips and glutes, while the squat targets the quads, hamstrings, and glutes. The landing for each jump is a 90-degree rotation from the starting position. The banded compass jump squat can be performed for low reps as a power-focused exercise, or for higher reps to build muscle in the lower body, challenge conditioning, and burn fat.",,
In-out sprawl,intermediate,strength,"The in-out sprawl is a full-body movement that combines elements of a plank and a sprawl. It demands an explosive full-body jump from a plank position. It is a challenging move that trains balance, core strength, and many muscle groups, making it work well in a time-efficient bodyweight circuit workout.",,
Knee-tuck kick-up,intermediate,strength,"The knee-tuck kick-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps in the ab-focused portion of any workout.",,
Bear crawl donkey kick,intermediate,strength,"The bear crawl donkey kick is a more advanced version of the bear crawl exercise that adds a donkey kick. It adds an extra coordination and shoulder challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",,
Southpaw sprawl with push-up,intermediate,strength,"The southpaw sprawl with push-up is a full-body movement that combines elements of a plank and a sprawl, with the addition of a push-up. It also has a rotational component, with a jumping leg-cross and torso twist in a straight-arm plank position. It is a challenging move that trains balance, core strength, and many muscle groups, making it work well in a time-efficient bodyweight circuit workout.",,
Bouncing lunge,intermediate,strength,"The bouncing lunge is a bodyweight movement targeting the quads. It can be performed either for time or reps, and is often included as part of a fat-loss or athleticism-focused circuit workout.",,
Bodyweight Squat - Gethin Variation,intermediate,strength,"The bodyweight squat is a fundamental exercise that strengthens the quads, glutes, and hamstrings. It can be performed as part of a dynamic warm-up, for time or reps during a workout, or for hip and spine mobility any time.",,
FYR Alternating Lunge,intermediate,strength,"The forward lunge is a lower-body bodyweight exercise targeting the quads, glutes, and hamstrings. It can also be performed holding dumbbells or other weights. The forward lunge places more emphasis on the quads than other lunge variations. It can be performed for time or reps in the lower-body portion of any workout.",,
Bodyweight Walking Lunge - Gethin Variation,intermediate,strength,"The walking lunge is a lower-body exercise that targets the glutes, quads, and hamstrings while challenging stability and balance. It can be performed for reps, time, or distance in the lower-body portion of any workout.",,
Seated Quad Contraction,intermediate,strength,,,
HM Squat with Alternating Leg Extension,intermediate,strength,,,
HM Air Squat,intermediate,strength,,,
HM Alternating Jump Lunge,intermediate,strength,,,
HM Alternating Lunge-In-Place,intermediate,strength,,,
HM Alternating Side Lunge,intermediate,strength,,,
HM Sumo Pulse,intermediate,strength,,,
HM Sumo Squat,intermediate,strength,,,
HM Alternating Side-Kick,intermediate,strength,,,
HM Tuck-Up Burpee,intermediate,strength,,,
HM Bear Crawl,intermediate,strength,,,
HM Bear Stance Fire Hydrant,intermediate,strength,,,
HM Walking Frankenstein,intermediate,strength,,,
HM Walking Hip Stretch,intermediate,stretching,,,
HM Wide Jump Squat,intermediate,strength,,,
HM Boxer Shuffle,intermediate,strength,,,
HM Running Lunge,intermediate,cardio,,,
HM Bulgarian Split Squat On Chair,intermediate,strength,,,
HM Burpee,intermediate,strength,,,
HM Butterfly,intermediate,strength,,,
HM Alternating Lunge Push-Up,intermediate,strength,,,
HM Comet,intermediate,strength,,,
HM Couch Stretch,intermediate,strength,,,
HM Down Up,intermediate,strength,,,
HM Duck Walk,intermediate,strength,,,
HM Fragon,intermediate,strength,,,
HM Frankenstein,intermediate,strength,,,
HM Single-Leg Squat on Chair,intermediate,strength,,,
HM Single-Leg Touchdown,intermediate,strength,,,
HM Speed Skater,intermediate,strength,,,
HM Squat Jump,intermediate,strength,,,
HM Squat Lunge,intermediate,strength,,,
HM Garland Pose,intermediate,strength,,,
HM High Knees,intermediate,strength,,,
HM In-And-Out Squat,intermediate,strength,,,
HM In-And-Out Squat Jump,intermediate,strength,,,
HM Jumping Jack,intermediate,strength,,,
HM Jumping Knee-Up,intermediate,strength,,,
HM Jumping Rope,intermediate,strength,,,
HM Right Calf-Spike Sumo Pulse,intermediate,strength,,,
HM Reverse Lunge with Kick,intermediate,strength,,,
HM Left Knee-Up,intermediate,strength,,,
HM Left-Leg Lunge And Kick-Out,intermediate,strength,,,
HM Mountain Pose,intermediate,strength,,,
HM Butt Kickers,intermediate,strength,,,
HM Right-Leg Lunge And Kick-Out,intermediate,strength,,,
HM Sumo Get-Up,intermediate,strength,,,
AM Jump Squat,intermediate,strength,"The jump squat is an explosive bodyweight exercise targeting the quads, hamstrings, and glutes. It is also a serious cardiovascular challenge when done for reps. It can be performed as a power exercise to build jumping power, or in any fat-loss or athleticism-focused workout.",,
AM Bodyweight Squat,intermediate,strength,"The bodyweight squat is a fundamental exercise that strengthens the quads, glutes, and hamstrings. It can be performed as part of a dynamic warm-up, for time or reps during a workout, or for hip and spine mobility any time.",,
High knees sprawl drill,intermediate,strength,"The high knees sprawl drill is a full-body, cardio and strength-focused exercise. It can be performed for reps or time in a fast-paced circuit or other workout.",,
UP Bulgarian Split Squat,intermediate,strength,"The dumbbell Bulgaria split squat is a single-leg exercise targeting the quads, glutes, and hamstrings.",,
UN Forward Lunge,intermediate,strength,,,
UN Front Foot Elevated Split Squat,intermediate,strength,,,
UNS Half-Kneeling Hip Flexor Stretch,intermediate,strength,,,
UNS Low Depth Jump,intermediate,strength,,,
UNS Forward-To-Reverse Lunge,intermediate,strength,,,
Holman Towel Squat Thrust,intermediate,strength,,,
Holman Towel Alternating Prisoner Squat,intermediate,strength,,,
Holman Towel Alternating Lateral Lunge,intermediate,strength,,,
Holman Squat Pull-Through Jump,intermediate,strength,,,
Holman 180 Jump,intermediate,strength,,,
Holman Foot-Elevated Knee-Up to Squat,intermediate,strength,,,
Holman Feet-Elevated Squat Thrust,intermediate,strength,,,
Holman Hands-Elevated Lunge Jump,intermediate,strength,,,
Holman Hands-Elevated Jack to Split Jump,intermediate,strength,,,
Holman Hands-Elevated Wide Squat Thrust,intermediate,strength,,,
Holman Hands-Elevated Squat Thrust to Split Jack,intermediate,strength,,,
Holman Squat Jump,intermediate,strength,,,
Holman Squat Pulse,intermediate,strength,,,
Holman Jump-Out Push-Up,intermediate,strength,,,
Holman Alternating Forward Lunge,intermediate,strength,,,
Holman Burpee to Jump,intermediate,strength,,,
Holman Pilates Single-Leg Stretch,intermediate,strength,,,
Holman Alternating Reverse Prisoner Lunge,intermediate,strength,,,
Holman Narrow-Wide Squat Jump to 180 Jump,intermediate,strength,,,
Holman 180 Jump to Lunge,intermediate,strength,,,
Holman Imaginary Jump Rope,intermediate,strength,,,
Holman Fast Feet with Hands Up,intermediate,strength,,,
Holman Hands-Elevated Alternating Lunge Jump,intermediate,strength,,,
Holman Right Split Lunge,intermediate,strength,,,
Holman Left Split Lunge,intermediate,strength,,,
Holman Plyometric Jump,intermediate,strength,,,
Holman Quad Touch Jump,intermediate,strength,,,
Holman Skate,intermediate,strength,,,
Holman Lunge Jump,intermediate,strength,,,
Holman Flying Squat Thrust,intermediate,strength,,,
Holman 90-Degree Jump,intermediate,strength,,,
Holman Half Jack to 180 Jump,intermediate,strength,,,
Holman Quick Feet to Quad Touch Jump,intermediate,strength,,,
Holman Squat Thrust to Push-Up to Super Woman,intermediate,strength,,,
Holman Plyometric Jump to 180 Jump,intermediate,strength,,,
Holman Standing Heel Click to Hands Down Heel Click,intermediate,strength,,,
Holman Burpee to 180 Jump,intermediate,strength,,,
Holman Traveling Low Jack to Belly Touch,intermediate,strength,,,
Holman Flying Squat Thrust to Shoulder Tap,intermediate,strength,,,
Holman Squat Jump to Alternating Side Lunge Jump,intermediate,strength,,,
Holman Low Squat with Low Diagonal Dumbbell Punch,intermediate,strength,,,
Holman Right Leg Hop to Right Reverse Lunge,intermediate,strength,,,
Holman Left Leg Hop to Left Reverse Lunge,intermediate,strength,,,
Holman Burpee to Open Stance,intermediate,strength,,,
Holman Diagonal Squat Thrust to Renegade Forward Punch,intermediate,strength,,,
Holman Bear Crawl,intermediate,strength,,,
Holman Bear Crawl to Donkey Kick,intermediate,strength,,,
Holman Bear Crawl to Froggy Push-Up,intermediate,strength,,,
Holman Bear Crawl to Shoulder Tap,intermediate,strength,,,
Holman Burpee to Tuck Jump,intermediate,strength,,,
Holman Burpee to Flying Squat Thrust to Tuck Jump,intermediate,strength,,,
Holman Forward Lunge to Reverse Lunge,intermediate,strength,,,
Holman Renegade Lunge Jump,intermediate,strength,,,
Holman Squat Jump to Lunge Jump,intermediate,strength,,,
Holman Prisoner Reverse Lunge,intermediate,strength,,,
Holman Wide-to-Narrow Squat Jump,intermediate,strength,,,
Holman Donkey Run,intermediate,strength,,,
Holman Weighted Wide-to-Narrow Squat Jump,intermediate,strength,,,
Holman Wide-to-Narrow Donkey Kick,intermediate,strength,,,
Holman Mule Kick,intermediate,strength,,,
Holman Goal Post to Squat,intermediate,strength,,,
Holman Frogger Squat to Heel Click,intermediate,strength,,,
Holman Stair Sprint,intermediate,strength,,,
Holman Stair Bear Crawl,intermediate,strength,,,
Holman Burpee to Flying Squat Thrust,intermediate,strength,,,
Holman Flying Squat Thrust to Push-Up,intermediate,strength,,,
Holman Foot-Elevated Step-To-Lunge,intermediate,strength,,,
Holman Split Lunge,intermediate,strength,,,
Holman Stair Climb,intermediate,strength,,,
Holman Burpee to Flying Jack,intermediate,strength,,,
Holman Right Reverse Lunge,intermediate,strength,,,
Holman Left Reverse Lunge,intermediate,strength,,,
Holman Squat Tap to Hop,intermediate,strength,,,
Holman Squat Tap to Jump-Forward-Jump-Back,intermediate,strength,,,
Holman Squat Hip Drive,intermediate,strength,,,
Holman Alternating Double Lunge Hop,intermediate,strength,,,
Holman Right Reverse Lunge to Front Kick,intermediate,strength,,,
Holman Right Leg Forward Lunge Hop,intermediate,strength,,,
Holman Right Squat Thrust,intermediate,strength,,,
Holman Left Reverse Lunge to Front Kick,intermediate,strength,,,
Holman Left Leg Forward Lunge Hop,intermediate,strength,,,
Holman Left Side Diagonal Burpee,intermediate,strength,,,
Holman Left Squat Thrust,intermediate,strength,,,
Holman Wide Squat Thrust,intermediate,strength,,,
Holman Alternating Single-Leg Hop to Squat to 180 Jump,intermediate,strength,,,
Holman Right Lunge Hop to Chest Press,intermediate,strength,,,
Holman Left Lunge Hop to Overhead Press,intermediate,strength,,,
Holman 180 Jump Hop Forward Hop Back,intermediate,strength,,,
Holman Right Split Squat,intermediate,strength,,,
Holman Left Split Squat,intermediate,strength,,,
Holman Double Squat Pulse to 180 Jump,intermediate,strength,,,
Holman Towel Left Side Squat,intermediate,strength,,,
Holman Alternating Lunge Jump,intermediate,strength,,,
Holman Lunge Jump to Squat Jump,intermediate,strength,,,
Holman Burpee with Belly Touch,intermediate,strength,,,
Bootstrapper squat,intermediate,strength,"The bootstrapper squat is a movement that improves mobility, muscular strength, and flexibility in the hips and hamstrings. It is usually performed as part of a dynamic warm-up for the lower body to mobilize the hips and improve squat form.",,
Total Fitness Broad Jump,intermediate,strength,"The broad jump is an explosive lower-body exercise. It is a common way to measure explosive hip and lower-body strength in athletes. The more explosive you are, the farther you'll be able to jump.",,
Total Fitness Lateral Lunge,intermediate,strength,"The lateral lunge is a lower-body bodyweight movement that works the quads, glutes, and hamstrings. It can also be performed holding dumbbells or other weights. It is often performed for reps as part of a dynamic warm-up or mobility routine but can also work in a circuit or other workouts.",,
Lateral shuffle,intermediate,strength,"The lateral shuffle is a common exercise in sports training and gym classes. It involves taking steps to one side and then steps to the other side. It can be performed as part of a circuit for athletes of any level, but is also a great movement for beginners.",,
Total Fitness Skip,intermediate,strength,"The skip is an exercise that builds power and explosiveness in the legs. It's commonly performed by children and in gym classes, but is also great for working the legs and hip flexors, making it a favorite warm-up for athletes who need to explode vertically.",,
Total Fitness Spider Lunge,intermediate,strength,"The spider lunge stretch is a lower-body stretch targeting the hips, groin, and quads. It can be part of a dynamic warm-up or mobility work performed anytime.",,
Spider lunge stretch,intermediate,strength,"The spider lunge stretch is a lower-body stretch targeting the hips, groin, and quads. It can be part of a dynamic warm-up or mobility work performed anytime.",,
Spider lunge with T-rotation,intermediate,strength,"The spider lunge with T-rotation is an exercise that produces a deep stretch in the glutes and hamstrings while also rotating and mobilizing the thoracic spine region. It is a great movement to include in a dynamic warm-up, or as mobility work anytime.",,
Standing quad stretch,intermediate,strength,"The standing quad stretch is a simple exercise designed to stretch the quadriceps, the big muscles that cover most of the thighs. This is a static stretch, meaning it’s usually performed by holding the stretched position for a certain length of time.",,
Vertical jump,intermediate,strength,"The vertical jump is an explosive lower-body exercise that is a common way to measure explosive hip and lower-body strength in athletes. The more explosive you are, the higher you'll be able to jump.",,
King Maker Burpee,intermediate,strength,"The burpee is a high-intensity exercise that recruits the entire body to build strength and aerobic capacity. It is common in CrossFit workouts and group fitness classes, but can also be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.",,
King Maker Explosive High Jump,intermediate,strength,"The tuck jump is a vertical jump, an explosive lower-body exercise that is a common way to measure explosive hip and lower-body strength in athletes. The more explosive you are, the higher you'll be able to jump.",,
Muscle Beach Skip,intermediate,strength,,,
Muscle Beach Broad Jump,intermediate,strength,,,
Muscle Beach Sprint,intermediate,strength,,,
Muscle Beach Front Kick,intermediate,strength,,,
Muscle Beach Side Kick,intermediate,strength,,,
Muscle Beach Spin Kick,intermediate,strength,,,
Muscle Beach Freestyle Kick,intermediate,strength,,,
MetaBurn Alternating Curtsy Lunge To Squat,intermediate,strength,,,
MetaBurn Alternating Curtsy Lunge With High Knee,intermediate,strength,,,
MetaBurn Alternating Diagonal Sprawl,intermediate,strength,,,
MetaBurn Alternating Lateral Sprawl,intermediate,strength,,,
MetaBurn Curtsy Lunge,intermediate,strength,,,
MetaBurn Frogger,intermediate,strength,,,
MetaBurn High Knee Rotation,intermediate,strength,,,
MetaBurn Side-To-Side Lunge,intermediate,strength,,,
MetaBurn Star Jump,intermediate,strength,,,
MetaBurn Tuck Jump With Knee Slap,intermediate,strength,,,
MetaBurn Lateral Bounding Hop,intermediate,strength,,,
MetaBurn Double Lunge,intermediate,strength,,,
Robertson Sprinter Step-Up,intermediate,strength,,,
FYR2 Front Kick-Through,intermediate,strength,,,
Lunge high-knee clap,intermediate,strength,"The lunge high-knee clap is a full-body, cardio-based exercise with emphasis on the lower body. It includes a clap under the front leg to make the movement more powerful and strict. It can be performed either for time or reps and is a great inclusion in a fat-loss or athleticism-focused circuit workout.",,
FYR2 Plyo Split Squat,intermediate,strength,,,
FYR2 Reverse Burpee,intermediate,strength,,,
FYR2 Reverse Burpee to Regular Burpee,intermediate,strength,,,
FYR2 Reverse Burpee Tuck Jump,intermediate,strength,,,
FYR2 Sprawlee,intermediate,strength,,,
FYR2 Squat Hold,intermediate,strength,,,
FYR2 Squat Jump,intermediate,strength,,,
FYR2 Squat Pulse,intermediate,strength,,,
Sprinter burpee,intermediate,strength,The sprinter burpee is an explosive version of the burpee exercise that adds a sprinter jump to the top of each rep. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.,,
Shuttle run training,intermediate,strength,"Shuttle run training is an athletic conditioning drill that’s great for developing speed and power, as well as changing direction. It’s a favorite of football and basketball players, but it can also be great conditioning work for lifters and athletes of all ability levels.",,
Medicine ball ninja,intermediate,plyometrics,"The medicine ball ninja is a dynamic medicine ball movement that challenges both the upper and lower body, while also elevating the heart rate. It's a great movement to include in medicine ball or bodyweight circuit training to increase fatigue and burn serious calories while hammering the muscles of the legs.",,
FYR Air Ball Plus Medicine Ball Jumping Sprawl,intermediate,strength,"The medicine ball air ball to jumping sprawl is a series of bodyweight and medicine ball movement strung together into a single sequence. They collectively target virtually every muscle in the body, as well as seriously challenging the cardiovascular system. It can be a single-movement workout if done for high reps, or part of a larger circuit workout.",,
Medicine ball cowboy squat,intermediate,strength,"The medicine ball cowboy squat is an explosive exercise targeting the lower body, although several upper-body muscles play important supporting roles. The move involves performing jumping squats while holding a medicine ball overhead. It's commonly performed as part of a bodyweight and medicine ball circuit focused on fat loss or athleticism.",,
Medicine ball jumping jill,intermediate,strength,"The medicine ball jumping jill is an explosive medicine ball exercise that is similar to a jumping jack but performed holding a medicine ball between the hands. It can be performed for time or reps in a dynamic warm-up or fat-loss or conditioning circuit, usually paired with other bodyweight or medicine ball movements.",,
Alternate Leg Diagonal Bound,beginner,plyometrics,,,
Sit Squats,beginner,stretching,,,
Frog Hops,beginner,stretching,,,
Dumbbell lateral hop to sprint,intermediate,plyometrics,"The dumbbell lateral hop to sprint is a multi-part explosive exercise combining weighted hops with weighted sprinting. Adding dumbbells adds a challenge to the core and shoulders. Because balance can be a challenge, it is usually performed with relatively light weights, often as a component of fat-loss or athletic training.",,
Smith machine lunge sprint,intermediate,strength,"The Smith machine lunge sprint is a lower-body power exercise performed with the bar of a Smith machine on the back. It is similar to an alternating jump lunge or ""scissor lunge,"" but with added weight. The contained bar of the Smith machine makes it safer and less of a balance challenge than using a free weight.",,
Sissy squat,intermediate,strength,"The sissy squat is a bodyweight squat variation that involves letting the knees travel far over the toes, placing an extreme stretch on the quads. This movement targets the quad muscles directly and can be performed in partial or full ranges of motion based on knee health and pain.",,
Wall ball toss,intermediate,plyometrics,"The wall ball toss is an explosive full-body exercise utilizing a medicine ball. It involves squatting down, then explosively pressing a weighted ball into the air and catching it on a bounce off of a vertical surface. It is common in CrossFit workouts and can be performed for time or reps.",,
Bosu Ball Squat,beginner,strength,,,
Exercise ball Bulgarian split squat,intermediate,strength,"The exercise ball Bulgarian split squat is an exercise that builds the quads, hamstrings, and glutes one leg at a time. The exercise ball is used to support the trailing shin and foot. Due to the balance challenge, this version of the split squat is usually performed for moderate to high reps with body weight only or light weights in the hands. If balance is a problem, you can stick the ball in the corner of a room while performing the exercise.",,
Internal Rotation with Band,beginner,strength,,,
Band Pull Apart,intermediate,strength,"The band pull-apart is an exercise targeting the upper back muscles, including the trapezius, rear delts, and rhomboids. The band creates dynamic tension, allowing you to really focus on contracting these muscles, making it a great activation drill prior to upper-body lifting.",,
Back Flyes - With Bands,beginner,strength,,,
Lateral Raise - With Bands,beginner,strength,,,
Shoulder Press - With Bands,beginner,strength,,,
External Rotation with Band,beginner,strength,,,
FYR Band Pull-Apart,intermediate,strength,,,
HM Lateral Raise,intermediate,strength,,,
Rusin Banded Over-And-Back,intermediate,strength,,,
Rusin Banded Face Pull,intermediate,strength,,,
UP Band Pull-Apart,intermediate,strength,,,
Jordan Shallow Band-Resisted Thread the Needle,intermediate,strength,,,
30 Shoulders Seated Banded Barbell Shoulder Press,intermediate,strength,,,
Band shoulder press,intermediate,strength,"The band shoulder press is a deltoid exercise and an alternative to the classic dumbbell shoulder press. The dynamic tension of the band forces the core to stabilize the body and more closely matches the strength curve of the shoulder press. It can be performed in low reps, such as 5-8 reps per set, to build shoulder strength, or for higher reps to build muscle and for conditioning. It can work as the main focus of a shoulder day but is also popular as an accessory movement to the bench press or barbell military press.",,
Band lateral raise,intermediate,strength,"The band lateral raise is a shoulder exercise that targets the medial or middle head of the deltoid muscle. It's a variation of the dumbbell lateral raise, a staple strength-training move. The band lateral raise is a great option for warm-up or accessory work on upper-body training days. The dynamic tension of the band provides constant tension and matches the strength curve of the movement. It is usually performed for moderate to high reps, at least 8-12 reps, as part of the upper-body or shoulder-focused portion of a workout.",,
Band upright row,intermediate,strength,"The band upright row is a popular movement for building stronger and bigger traps and shoulders and similar to the dumbbell upright row. Many lifters combine this move with either their back or shoulder workout, since it involves both body parts. Using the band provides dynamic resistance and is easier on the shoulder than using a barbell. It is generally performed for moderate to high reps, such as 8-12 reps per set or more.",,
Staggered-stance band shoulder press,intermediate,strength,"The staggered-stance band shoulder press is a deltoid exercise and a variation of the band shoulder press. The dynamic tension of the band forces the core to stabilize the body, and the staggered-stance provides more stability and relieves tension on the back. It can be performed in low reps, such as 5-8 reps per set, to build shoulder strength, or for higher reps to build muscle and for conditioning. It can work as the main focus of a shoulder day but is also popular as an accessory movement to the bench press or barbell military press.",,
Single-arm banded landmine press,intermediate,strength,"The single-arm banded landmine press is an upper-body exercise that uses an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. The band adds constant tension and dynamic resistance to the exercise. The movement focuses primarily on the muscles of the shoulders or deltoids and can be trained in traditional muscle and strength-focused rep ranges or for higher reps.",,
Band front raise rear fly row combo,intermediate,strength,"The band front raise rear fly row combo is a combination of three different shoulder exercises to build and strengthen the anterior, middle deltoids, and posterior portions of the shoulders. It requires a continuous loop band to provide constant, dynamic tension throughout the movement. In addition to the front and rear delts, this exercise works the arms, chest, back, and core, making it a great time-efficient shoulder burnout or accessory movement on an upper-body day.",,
Jordan Shallow Foam Roller Thoracic Extension,intermediate,strength,,,
Jordan Shallow Thread the Needle (with Foam Roller),intermediate,strength,,,
Clean and press,intermediate,strength,"The clean and press is a full-body lift comprised of two movements: the clean, where the bar is pulled from the floor and caught in the front rack position in three pulls or phases, followed by the overhead press. Decades ago, it was contested in the Olympics. Today, it remains a worthy centerpiece of a power and strength training program, and has full-body benefits when done for low reps as well as moderate to high reps.",,
Clean and jerk,intermediate,olympic weightlifting,"The clean and jerk is a full-body lift that is one of two contested lifts in Olympic weightlifting competitions. It is comprised of two movements: the clean, where the bar is pulled from the floor and caught in the front rack position in three pulls or phases, followed by the jerk overhead. The clean and jerk hits every muscle from head to toe and can be the centerpiece of a lifting program. It is also popular in CrossFit and athletic training programs. It is usually performed in low rep ranges, focusing on power and movement quality.",,
Military press,intermediate,strength,"The military press is a compound movement used to build size and strength in the shoulders. It was once contested as a fourth powerlift, but is rarely competed anymore. However, being able to press a significant weight overhead remains a popular marker of upper-body strength. The military press can be trained as a strength lift or in traditional muscle-building rep ranges as part of full-body, shoulder-focused, or upper-body training.",,
Seated barbell shoulder press,intermediate,strength,"The seated barbell shoulder press is a classic exercise for building muscle and strength in the shoulders. The triceps also play a significant role in pressing the barbell overhead. Performing the movement seated reduces help from the lower body and decreases the risk of overextending the lumbar spine during the movement. This press variation can be the primary pressing movement on an upper-body or shoulder day, or an effective accessory movement later in a workout.",,
Snatch-Grip Behind-The-Neck Overhead Press,beginner,strength,,,
Standing Bradford press,intermediate,strength,"The standing Bradford press is an obscure yet effective shoulder exercise that alternates front presses with behind-the-neck presses. It can be used as a warm-up for other press variations on a shoulder day, or as a muscle-building movement on its own in a shoulder or upper-body focused workout. It is usually performed for relatively high reps, such as 8-15 reps per set or higher, or just to the point of fatigue.",,
Barbell Shoulder Press,intermediate,strength,"The seated barbell shoulder pressis a classic exercise for building muscle and strengthening the shoulders, particularly but not exclusively the front heads. The triceps also play a significant roles in pressing the barbell overhead.",,
Barbell rear delt bent-over row,intermediate,strength,"The barbell rear delt bent-over row is a movement used to target the shoulders as well as the upper-back muscles. It is performed with lighter weights than a traditional barbell bent-over row, and is usually performed for higher reps, such as 8-15 reps per set, as part of a back or upper-body workout.",,
Barbell upright row,intermediate,strength,The barbell upright row is a barbell exercise that builds stronger and bigger traps. Many lifters combine this move with either their back or shoulder workout since it involves both body parts.,,
Bradford/Rocky Presses,beginner,strength,,,
Lying rear delt fly,intermediate,strength,"The lying rear delt fly is an upper-body exercise that targets the rear deltoid of the shoulder. By performing the movement lying face down on a bench, it eliminates momentum from the rest of the body. This movement is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or shoulder-focused portion of a workout.",,
Machine Shoulder (Military) Press,intermediate,strength,The machine shoulder press is an upper body exercise targeting the deltoids.,,
