exercise_name,muscular_group_name
FYR Sumo Deadlift High Pull,lower back
Kettlebell deadlift,lower back
HM Kettlebell Swing,lower back
KV Romanian Deadlift with Kettlebell,lower back
FYR2 Kettlebell Good Morning,lower back
FYR2 Kettlebell Romanian Deadlift,lower back
FYR2 Kettlebell Staggered-Stance Deadlift,lower back
Dumbbell Fix Dumbbell Deadlift,lower back
Dumbbell skier,lower back
TBS Dumbbell Romanian Deadlift,lower back
Stiff-Legged Dumbbell Deadlift - Gethin Variation,lower back
UNS Dumbbell Romanian Deadlift,lower back
Holman Slow Deadlift,lower back
Holman Deadlift to Overhead Press,lower back
Holman Staggered-Stance Deadlift,lower back
Holman Deadlift to Front Raise,lower back
Holman Deadlift to Chest Press,lower back
Holman Deadlift to Squat Thrust,lower back
Holman Deadlift to Biceps Curl,lower back
Dumbbell kickstand deadlift,lower back
Single-leg stiff-legged deadlift to row,lower back
FYR2 Dumbbell Deadlift,lower back
FYR2 Dumbbell Deadlift to Dumbbell Upright Row,lower back
Atlas Stones,lower back
Axle Deadlift,lower back
Atlas Stone Trainer,lower back
Partner Flat-Bench Back Extension,lower back
Keg Load,lower back
Partner bench back extension,lower back
Rack Pull - Gethin Variation,lower back
Hex Bar Deadlift - Gethin Variation,lower back
Holman Deadlift,lower back
ACFT Low-handle trap bar deadlift,lower back
Neutral-grip lat pull-down,lower back
Seated cable deadlift,lower back
Cable stiff-legged deadlift,lower back
Single-leg cable stiff-legged deadlift,lower back
UNS Banded Dumbbell Romanian Deadlift,lower back
Seated Back Extension,lower back
Back extension,lower back
Hyperextensions With No Hyperextension Bench,lower back
Superman,lower back
Hug A Ball,lower back
Child's pose,lower back
Pelvic Tilt Into Bridge,lower back
Hug Knees To Chest,lower back
Pyramid,lower back
Partner Superman with alternating high-five,lower back
Yoga plex,lower back
TBS Back Extension,lower back
Lower Back Stretch - Yates Variation,lower back
Hyperextension - Gethin Variation,lower back
Back Extension - Gethin Variation,lower back
HM Banana Stretch,lower back
HM T-Spine Stretch on Wall,lower back
HM Child's Pose,lower back
HM Cobra,lower back
HM Cobra With Arm Retraction,lower back
HM Dive-Bomber,lower back
HM Downward-Facing Dog Pose,lower back
HM Downward Dog To Left Leg Extension To Warrior Pose,lower back
HM Downward Dog To Right Leg Extension To Warrior Pose,lower back
HM Spine Twist,lower back
HM Good Morning,lower back
HM Rag Doll,lower back
HM Upward-Facing Dog Pose,lower back
Superman-,lower back
Weighted back extension,lower back
MetaBurn Alternating Superman,lower back
MetaBurn Swimmer,lower back
Dancer's Stretch,lower back
Cat Stretch,lower back
Crossover Reverse Lunge,lower back
Standing Pelvic Tilt,lower back
Exercise ball weighted hyperextension,lower back
Exercise ball rear delt fly,lower back
Lying rear delt Y,lower back
Partner Facing Feet-Elevated Side Plank With Band Row,middle back
Partner side plank band row,middle back
Band-assisted chin-up,middle back
30 Back Band-Assisted Pull-Up,middle back
30 Back Reverse-Grip Band-Assisted Pull-Up,middle back
Band bent-over row,middle back
Heavy band bent-over row,middle back
Reverse-grip bent-over row,middle back
One-Arm Long Bar Row,middle back
Bent Over Barbell Row,middle back
Yates Row Reverse Grip,middle back
Pendlay Row,middle back
Straight Bar Bench Mid Rows,middle back
Barbell seal row,middle back
Yates Row,middle back
Plate Row,middle back
Barbell Deadlift Bent Row Complex,middle back
Single-Arm Landmine Row,middle back
TBS T-Bar Row,middle back
TBS Deficit Deadlift,middle back
Bent-Over Barbell Row - Gethin Variation,middle back
Barbell bent-over row,middle back
UN Barbell Rack Pull,middle back
UN Barbell Scrape The Rack,middle back
Barbell deadlift bent-over row complex,middle back
30 Back Barbell Deadlift,middle back
30 Back Bent-Over Barbell Row,middle back
30 Back T-Bar Row,middle back
30 Back Underhand Bent-Over Barbell Row,middle back
Kettlebell alternating renegade row,middle back
Alternating Kettlebell Row,middle back
Two-Arm Kettlebell Row,middle back
Kettlebell bent-over row to clean,middle back
UP Deficit Kettlebell Stiff-Legged Deadlift,middle back
FYR2 Dagger-Grip Double-Kettlebell Gorilla Row,middle back
FYR2 Double-Kettlebell Swing Clean,middle back
Single-arm kettlebell row-,middle back
FYR2 Ascending-Rep Swing-Squat Complex,middle back
One-Arm Dumbbell Row,middle back
Incline dumbbell row,middle back
Bent Over Two-Dumbbell Row With Palms In,middle back
Man-maker,middle back
Dumbbell bent-over row,middle back
Middle Back Shrug,middle back
Dumbbell pull-over to skullcrusher,middle back
Dumbbell Fix Single-Arm Dumbbell Row,middle back
Dumbbell Fix Bent-Over Dumbbell Row,middle back
Dumbbell Seal Row - Gethin Variation,middle back
Decline dumbbell chest fly,middle back
TBS Bent-Over Dumbbell Row,middle back
HM Alternating Bent-Over Quick Row,middle back
HM Bent-Over Dumbbell Row,middle back
AM Single Arm Row,middle back
Dumbbell stiff-legged deadlift,middle back
Single-arm bench dumbbell row,middle back
UN Bent-Over Dumbbell Row,middle back
UN Dumbbell RDL,middle back
UN Chest Supported Row,middle back
MetaBurn Bent-Over Renegade Row,middle back
30 Back Bent-Over Dumbbell Row,middle back
30 Back Dumbbell Pull-Over,middle back
30 Back Incline Dumbbell Row,middle back
30 Back Single-Arm Dumbbell Row,middle back
30 Back Single-Arm Dumbbell Swing Row,middle back
T-Bar Row with Handle,middle back
T-Bar Row,middle back
Alternating sit-through with crunch,middle back
Seated Cable Rows,middle back
Upside-down pull-up,middle back
Smith machine inverted row,middle back
Lying T-Bar Row,middle back
Suspended row,middle back
Inverted Row with Straps,middle back
One Arm Chin-Up,middle back
Sled Row,middle back
Paul Carter T-Bar Row,middle back
Single-Arm Bent-Over Rear Delt Raise - Gethin Variation,middle back
30 Back Plate Hyperextension,middle back
Single-arm cable seated row,middle back
Paul Carter Lat Pull-Down,middle back
TBS Lat Pull-Down,middle back
One-Arm Cable Read Delt Fly - Gethin Variation,middle back
UP Seated Cable Row,middle back
UP Cable Straight-Arm Pull-Down,middle back
UN Cable Pull-Through,middle back
30 Back Close-Grip Seated Cable Row,middle back
30 Back Incline Face-Up Cable Pull-Down,middle back
30 Back Kneeling High Cable Pull-Down,middle back
30 Back Leaning V-Bar Pull-Down,middle back
30 Back Reverse-Grip Pull-Down,middle back
30 Back Standing Low Cable Bar Row,middle back
30 Back Standing Low Cable Rope Row,middle back
30 Back Straight-Arm Bar Pull-Down,middle back
30 Back Straight-Arm Rope Pull-Down,middle back
30 Back Wide-Grip Behind-The-Head Pull-Down,middle back
30 Back Wide-Grip Pull-Down,middle back
30 back Wide-Grip Seated Cable Row,middle back
Rower,middle back
Smith machine bent-over row,middle back
Leverage High Row,middle back
Machine Low Row,middle back
Standing lat pull-down,middle back
30 Back Machine Seated Row,middle back
30 Back Smith Machine Push-Up,middle back
Mixed Grip Chin,middle back
Rhomboids SMR,middle back
Spinal Stretch,middle back
Upper Back Stretch,middle back
Middle Back Stretch,middle back
TBS Pull-Up,middle back
HM Angel Stretch,middle back
UNS Foam Roll Upper Back,middle back
30 Back Neutral-Grip Pull-Down,middle back
30 Back Pull-Up,middle back
30 Back Reverse-Grip Pull-Up,middle back
ACFT Medicine ball overhead power throw,middle back
Upright Row - With Bands,traps
Band seated row,traps
Barbell shrug,traps
Barbell behind-the-back shrug,traps
Clean Shrug,traps
Snatch Shrug,traps
Single-arm inverted row,traps
Kettlebell sumo deadlift high pull,traps
Standing dumbbell shrug,traps
Standing dumbbell upright row,traps
Dumbbell pull-over,traps
Standing Dumbbell Shrug - Gethin Variation,traps
Single-arm dumbbell row,traps
Lying Face Down Plate Neck Resistance,neck
Lying Face Up Plate Neck Resistance,neck
Seated Head Harness Neck Resistance,neck
Cable straight-bar upright row,traps
Cable shrug,traps
Smith machine shrug,traps
Leverage Shrug,traps
Calf-Machine Shoulder Shrug,traps
Smith machine behind-the-back shrug,traps
Smith machine upright row,traps
Machine low row-,traps
Machine Shrug - Gethin Variation,traps
Smith machine single-arm shrug,traps
Isometric Neck Exercise - Sides,neck
Isometric Neck Exercise - Front And Back,neck
Neck Bridge Prone,neck
Side Neck Stretch,neck
Neck-SMR,neck
Scapular Pull-Up,traps
Single-leg depth squat,quadriceps
Squats - With Bands,quadriceps
Hip Flexion with Band,quadriceps
Forward Band Walk,quadriceps
Boss Everline Resistance-Band Pull Sprint,quadriceps
Banded jump squat,quadriceps
Speed Box Squat,quadriceps
HM Banded Squat Toe Tap,quadriceps
UP Band Abducted Squat,quadriceps
FYR2 Lateral Band Walk,quadriceps
FYR2 Banded Squat Hold-Pulse-Jump Complex,quadriceps
Band split squat,quadriceps
Band front squat,quadriceps
Squat hold with band pull-apart,quadriceps
Banded squat toe tap,quadriceps
Band overhead squat,quadriceps
Quadriceps SMR,quadriceps
Clean from Blocks,quadriceps
Barbell Full Squat,quadriceps
Barbell back squat to box,quadriceps
Push-press,quadriceps
Power snatch-,quadriceps
Hang Clean,quadriceps
Barbell walking lunge,quadriceps
Olympic Squat,quadriceps
Narrow-stance squat,quadriceps
Box Squat with Bands,quadriceps
Weighted Jump Squat,quadriceps
Squat with Chains,quadriceps
Barbell Squat,quadriceps
Barbell front squat,quadriceps
Barbell forward lunge,quadriceps
Smith machine box squat,quadriceps
Barbell step-up,quadriceps
Barbell Bulgarian split squat,quadriceps
Hang Clean - Below the Knees,quadriceps
Barbell hack squat,quadriceps
Hack Squat,quadriceps
Barbell thruster,quadriceps
Split Jerk,quadriceps
Push-jerk,quadriceps
Barbell back squat,quadriceps
Zercher squat,quadriceps
Jefferson Squats,quadriceps
Jerk Dip Squat,quadriceps
Barbell side split squat,quadriceps
Frankenstein Squat,quadriceps
Barbell speed squat,quadriceps
Single-arm side deadlift,quadriceps
Barbell Squat To A Bench,quadriceps
Clean Pull,quadriceps
Front Barbell Squat To A Bench,quadriceps
Barbell reverse lunge,quadriceps
Split Clean,quadriceps
Close-stance dumbbell front squat,quadriceps
Front Squat (Clean Grip),quadriceps
Barbell front squat to back squat,quadriceps
Squat Jerk,quadriceps
Barbell Front-To-Back Squat,quadriceps
Box Squat with Chains,quadriceps
Snatch from Blocks,quadriceps
Power Snatch from Blocks,quadriceps
Front Squat (Bodybuilder),quadriceps
Barbell step-down reverse lunge,quadriceps
Squat with Bands,quadriceps
Heaving Snatch Balance,quadriceps
Snatch Balance,quadriceps
Reverse Band Power Squat,quadriceps
Paul Carter Back Squat,quadriceps
Paul Carter Barbell Split Squat,quadriceps
TBS High-Bar Back Squat,quadriceps
TBS Barbell Front Squat,quadriceps
Squat - Gethin Variation,quadriceps
Front-To-Back Barbell Squat,quadriceps
Barbell Lunge - Gethin Variation,quadriceps
Rack Deadlift - Gethin Variation,quadriceps
Barbell Squat - Gethin Variation,quadriceps
Barbell Good Morning - Gethin Variation,quadriceps
AM Barbell Squat,quadriceps
Plyometric Power Clean,quadriceps
Banded Split Jerk,quadriceps
UP Squat,quadriceps
UN Barbell Back Squat,quadriceps
UN Barbell Box Squat,quadriceps
UN Barbell Front Squat,quadriceps
KV Bulgarian Split Squat,quadriceps
King Maker Barbell Back Squat,quadriceps
King Maker Barbell Deadlift,quadriceps
30 Legs Barbell Back Squat,quadriceps
30 Legs Barbell Front Squat,quadriceps
Barbell Back Squats,quadriceps
Front Squats With Two Kettlebells,quadriceps
Kettlebell Pistol Squat,quadriceps
Goblet Squat,quadriceps
Kettlebell Curtsy Lunge,quadriceps
Single-arm kettlebell overhead squat,quadriceps
Kettlebell side squat,quadriceps
Kettlebell sumo squat,quadriceps
Kettlebell thruster progression,quadriceps
Kettlebell power clean,quadriceps
Kettlebell fire feet,quadriceps
Single Arm Overhead Kettlebell Squat,quadriceps
Pulsing goblet squat,quadriceps
Double-kettlebell alternating lunge to clean,quadriceps
FYR Goblet Squat,quadriceps
FYR Kettlebell Sumo Squat,quadriceps
Double-kettlebell front squat,quadriceps
FYR Kettlebell Squat Clean,quadriceps
Single-arm kettlebell front squat,quadriceps
Kettlebell front rack lunge,quadriceps
HM Turkish Get-Up,quadriceps
HM Single-Leg Romanian Deadlift,quadriceps
Taylor Single-Arm Kettlebell Front Squat,quadriceps
Taylor Kettlebell Goblet Squat,quadriceps
Goblet squat-,quadriceps
Holman Kettlebell Squat Clean,quadriceps
Holman Kettlebell Swing,quadriceps
Holman Kettlebell Swing Transfer,quadriceps
Dumbbell goblet squat-,quadriceps
Robertson Kettlebell Jump,quadriceps
FYR2 Alternating Kettlebell Squat Clean,quadriceps
FYR2 Banded Double-Kettlebell Squat Pulse,quadriceps
FYR2 Double-Kettlebell Ballin' Lunge,quadriceps
FYR2 Double-Kettlebell Front Rack Lunge,quadriceps
FYR2 Double-Kettlebell Front Squat,quadriceps
FYR2 Explosive Kettlebell Jump Squat,quadriceps
FYR2 Kettlebell Goblet Squat,quadriceps
FYR2 Kettlebell Reverse Lunge Switch Grip,quadriceps
FYR2 Kettlebell Reverse Lunge to Kneeling Press,quadriceps
FYR2 Kettlebell Sumo Squat Pulse,quadriceps
FYR2 Reverse Lunge to Single-Leg Kettlebell Deadlift,quadriceps
FYR2 Kettlebell Goblet-Squat-Deadlift Complex,quadriceps
FYR2 Kettlebell Squat-Press-Deadlift Complex,quadriceps
Goblet Squats,quadriceps
Dumbbell Goblet Squat,quadriceps
Dumbbell squat,quadriceps
Dumbbell Lunges,quadriceps
Dumbbell reverse lunge,quadriceps
Split Squat with Dumbbells,quadriceps
Dumbbell sumo squat,quadriceps
Dumbbell seated box jump,quadriceps
Dumbbell step-up,quadriceps
Dumbbell Walking Lunge,quadriceps
Dumbbell Squat To A Bench,quadriceps
Dumbbell thruster,quadriceps
Dumbbell front squat,quadriceps
Single-Arm Dumbbell Overhead Squat,quadriceps
Dumbbell lateral hop,quadriceps
Dumbbell lunge with biceps curl,quadriceps
Dumbbell Pistol Squat,quadriceps
Dumbbell Squat Snatch,quadriceps
Dumbbell Alternating Lunge,quadriceps
Dumbbell jump squat,quadriceps
Dumbbell Side Lunge,quadriceps
Boss Everline Dumbbell Lunge Jump,quadriceps
Dumbbell Fix Dumbbell Split Squat,quadriceps
Single-leg dumbbell Romanian deadlift,quadriceps
Dumbbell Fix Dumbbell Alternating Reverse Lunge,quadriceps
Dumbbell Fix Turkish Get-Up,quadriceps
Seesaw lunge,quadriceps
FYR Dumbbell Front Squat,quadriceps
Dumbbell split squat,quadriceps
Dumbbell deadlift,quadriceps
Single-arm stiff-legged deadlift,quadriceps
HM Dumbbell Overhead Squat,quadriceps
HM Dumbbell Squat,quadriceps
UNS Dumbbell Goblet Squat,quadriceps
Single-Arm Dumbbell Snatch,quadriceps
KV Dumbbell Lunges,quadriceps
Holman Squat to Biceps Curl,quadriceps
Holman Burpee to Biceps Curl,quadriceps
Holman Slow Weighted Reverse Lunge,quadriceps
Holman Slow Weighted Plie Squat,quadriceps
Holman Weighted Lunge Jump with Biceps Curl,quadriceps
Holman Left Reverse Lunge Chest Press to Left Knee-Up Chest Press,quadriceps
Holman Weighted Lunge Jump with Chest Press,quadriceps
Holman Weighted Half Jack to Biceps Curl,quadriceps
Holman Weighted Half Jack to Chest Press,quadriceps
Holman 180 Jump to Renegade Side Raise,quadriceps
Holman Right Reverse Lunge Biceps Curl to Right Knee-Up Biceps Curl,quadriceps
Holman Roll-Back to Squat Thrust to Renegade Row,quadriceps
Holman Roll-Back to Squat Thrust to Renegade Triceps Press,quadriceps
Holman Weighted Narrow Squat Jump,quadriceps
Holman Diagonal Deadlift,quadriceps
Holman Weighted Burpee to Triceps Press,quadriceps
Holman Squat Thrust Overhead Press,quadriceps
Holman Weighted Burpee to Chest Press,quadriceps
Holman Squat to Right-Arm Overhead Press,quadriceps
Holman Right Lunge Jump with Right Overhead Press,quadriceps
Holman Left Lunge Jump with Left Overhead Press,quadriceps
Holman Heavy Hip Drive,quadriceps
Holman Squat to Left-Arm Overhead Press,quadriceps
Holman Weighted Lunge Jump to Floor Lunge Jump,quadriceps
Holman Alternating Weighted Lunge Jump to Chest Press,quadriceps
Holman Weighted Burpee to Overhead Alternating Reverse Lunge,quadriceps
Holman Weighted 180 Jump to Chest Press,quadriceps
Holman Alternating Side Squat Overhead Press,quadriceps
Holman Right Lunge with Right Biceps Curl,quadriceps
Holman Left Lunge with Left Biceps Curl,quadriceps
Holman Squat Thrust to Alternating Front Raise,quadriceps
Dumbbell racked reverse lunge,quadriceps
Total Fitness Dumbbell Reverse Lunge,quadriceps
Single-arm dumbbell snatch-,quadriceps
Total Fitness Dumbbell Step-Up,quadriceps
Single-arm dumbbell front squat,quadriceps
King Maker Weighted Jump Squat,quadriceps
3D dumbbell lunge,quadriceps
MetaBurn Dumbbell Burpee,quadriceps
Dumbbell jump squat with rotation,quadriceps
MetaBurn Dumbbell Wide Squat to Rack,quadriceps
MetaBurn Reverse Lunge To High Pull,quadriceps
MetaBurn Reverse Lunge With Overhead Raise,quadriceps
MetaBurn Squat to Triceps Extension,quadriceps
30 Legs Dumbbell Goblet Squat,quadriceps
30 Legs Dumbbell Squat,quadriceps
Dumbbell step-down reverse lunge,quadriceps
Tire flip,quadriceps
Single Leg Push-off,quadriceps
Bear crawl sled drag,quadriceps
Bicycling,quadriceps
Hex-bar deadlift,quadriceps
Skating,quadriceps
Weighted sissy squat,quadriceps
Yoke Walk,quadriceps
Front Cone Hops (or hurdle hops),quadriceps
Weighted Squat,quadriceps
Bench skip,quadriceps
Backward Drag,quadriceps
Sled Push,quadriceps
Barbell squat with plate slide,quadriceps
Suspended split squat,quadriceps
Intermediate Hip Flexor and Quad Stretch,quadriceps
Sled Drag - Harness,quadriceps
Burpee over barbell,quadriceps
Dumbbell walking lunge-,quadriceps
Single-Leg Box Jump,quadriceps
Conan's Wheel,quadriceps
Single-Leg Hop Progression,quadriceps
Rickshaw Deadlift,quadriceps
Single-cone sprint drill,quadriceps
Single-Leg Stride Jump,quadriceps
Trap Bar Jump,quadriceps
Single-Leg Lateral Hop,quadriceps
Burpee Box-Jumps,quadriceps
Sandbag Load,quadriceps
Single-leg knee-tap squat,quadriceps
Car Deadlift,quadriceps
Barbell Squat To A Box,quadriceps
Double Under,quadriceps
Plate push,quadriceps
Hybrid deadlift,quadriceps
Boss Everline Suspension Side Run,quadriceps
Boss Everline Lunge Sled Push,quadriceps
Squat Bottom Position Hold,quadriceps
TRX Squat Jump,quadriceps
Landmine squat,quadriceps
Dumbbell Bulgarian split squat,quadriceps
Holman Towel Alternating Prisoner Reverse Lunge,quadriceps
Holman Weighted Burpee to Belly Touch,quadriceps
Holman Weighted Burpee to Front Punch,quadriceps
Holman Weighted Low Squat Punch,quadriceps
Holman Weighted Hook Punch to Squat Thrust,quadriceps
Holman Towel Alternating Side Lunge Squat,quadriceps
Holman Weighted Burpee to Renegade Side Punch,quadriceps
Holman Weighted Reverse Lunge to Knee-Up Overhead Press,quadriceps
Holman Lunge Jump with Overhead Press,quadriceps
Holman Weighted Burpee to Belly Touch to Standing T,quadriceps
Holman Weighted Squat Jump,quadriceps
Holman Weighted Plie Squat,quadriceps
Holman Heels-Elevated Sissy Squat,quadriceps
Holman Squat Jump to Overhead Press,quadriceps
Holman 180 Jump to Overhead Press,quadriceps
Holman Weighted Burpee to Row,quadriceps
Holman Weighted Burpee to 180 Jump,quadriceps
Holman Weighted 180 Jump,quadriceps
Holman Weighted Narrow-Mid-Wide Hop,quadriceps
Holman Alternating Weighted Diagonal Burpee,quadriceps
Holman Towel Burpee to Push-Up,quadriceps
Holman Towel Right Side Squat,quadriceps
ACFT Sprint-drag-carry,quadriceps
Cable Hip Adduction,quadriceps
Cable Deadlifts,quadriceps
KV Cable Squat,quadriceps
Single-Leg Press,quadriceps
Stair climber,quadriceps
Leg Press,quadriceps
Elliptical trainer,quadriceps
Narrow-stance leg press,quadriceps
Narrow Stance Hack Squats,quadriceps
Stairmaster,quadriceps
Machine Squat,quadriceps
Smith machine back squat,quadriceps
Leg Extensions,quadriceps
Treadmill running,quadriceps
Stationary bike,quadriceps
Treadmill jogging,quadriceps
Recumbent Bike,quadriceps
Smith machine leg press,quadriceps
Lying Machine Squat,quadriceps
Seated Leg Press,quadriceps
Smith machine pistol squat,quadriceps
Leverage Deadlift,quadriceps
Leg press-,quadriceps
TBS Hack Squat,quadriceps
Leg Extensions - Gethin Variation,quadriceps
Seated leg press-,quadriceps
Smith machine front squat,quadriceps
Machine Deadlift - Gethin Variation,quadriceps
Single-leg hack squat,quadriceps
Narrow-stance hack squat,quadriceps
Alternating Single-Leg Curl - Gethin Variation,quadriceps
Stiff-Legged Deadlift - Gethin Variation,quadriceps
Single-Leg Press - Gethin Variation,quadriceps
Hack squat-,quadriceps
Smith machine lunge squat,quadriceps
Hack Squat - Gethin Variation,quadriceps
Leg Press - Gethin Variation,quadriceps
AM Leg Press,quadriceps
Leg extension,quadriceps
UP Quad Extension,quadriceps
UP Single-Leg Press,quadriceps
UP Leg Press,quadriceps
Pop Squat On Leg Press,quadriceps
King Maker Leg Press,quadriceps
Single-leg leg press,quadriceps
King Maker Hack Squat,quadriceps
30 Legs Feet-High Leg Press,quadriceps
30 Legs Leg Press,quadriceps
30 Legs Leg Press Calf Raise,quadriceps
30 Legs Lying Leg Curl,quadriceps
30 Legs Machine Hack Squat,quadriceps
30 Legs Single-Leg Leg Extension,quadriceps
30 Legs Single-Leg Leg Press,quadriceps
30 Legs Single-Leg Lying Leg Curl,quadriceps
30 Legs Smith Machine Split Squat,quadriceps
30 Legs Smith Machine Squat,quadriceps
Jumping rope,quadriceps
Forward lunge,quadriceps
Side-to-side box skip,quadriceps
Bodyweight squat,quadriceps
Broad jump,quadriceps
Burpee,quadriceps
Trail Running/Walking,quadriceps
Scissors Jump,quadriceps
Jumping jack-,quadriceps
Arms-crossed jump squat,quadriceps
Bodyweight Reverse Lunge,quadriceps
Alien Squat,quadriceps
Treadmill walking,quadriceps
Rocket Jump,quadriceps
Depth jump box jump,quadriceps
Bodyweight Walking Lunge,quadriceps
Walking High Knees,quadriceps
Lateral lunge,quadriceps
Jump Squat,quadriceps
Over bench jump,quadriceps
Split Jump,quadriceps
90-degree jump squat,quadriceps
Skip,quadriceps
Kneeling hip flexor stretch,quadriceps
Iron Crosses (stretch),quadriceps
All Fours Quad Stretch,quadriceps
Lying quad stretch with band,quadriceps
One Half Locust,quadriceps
Standing Hip Flexors,quadriceps
Looking At Ceiling,quadriceps
Rear Leg Raises,quadriceps
On Your Side Quad Stretch,quadriceps
On-Your-Back Quad Stretch,quadriceps
Standing Elevated Quad Stretch,quadriceps
Thigh killa,quadriceps
Southpaw sprawl,quadriceps
Stride Jump Crossover,quadriceps
Side Standing Long Jump,quadriceps
Wall squat,quadriceps
Slide Jump Shot,quadriceps
Sprawl frog kick,quadriceps
Lateral Speed Step,quadriceps
Side Hop-Sprint,quadriceps
Pop squat,quadriceps
Star Jump,quadriceps
Side Lunge Touching Heel,quadriceps
Lying Prone Quadriceps,quadriceps
Fast Kick With Arm Circles,quadriceps
Single-leg box squat,quadriceps
Defensive Slide,quadriceps
Quick Leap,quadriceps
Vertical Mountain Climber,quadriceps
Reverse Burpee,quadriceps
Football Up-Down,quadriceps
Jump lunge heel kick,quadriceps
Burpee box jump,quadriceps
Linear Depth Jump,quadriceps
Slow Jog,quadriceps
High knees,quadriceps
Jumping Jack,quadriceps
Square Hop,quadriceps
Running lunge,quadriceps
In-out jump squat,quadriceps
Gorilla squat,quadriceps
Burpee tuck jump,quadriceps
Speed skater,quadriceps
Jumping knee up-down,quadriceps
Jump Lunge To Feet Jack,quadriceps
Reverse Lunge Rotation,quadriceps
Alternating standing knee-pull stretch,quadriceps
Seal jack,quadriceps
Kneeling quad thoracic stretch,quadriceps
Single-Leg Squat With Knee Tap,quadriceps
Shuttle run,quadriceps
Squat Isometric Hold,quadriceps
Wall sit,quadriceps
Walking lunge with hip extension,quadriceps
Squat with alternating side leg raise,quadriceps
Lateral Squats,quadriceps
Walking lunge with twist,quadriceps
Boss Everline Backward Lunge Walk,quadriceps
Reverse Diagonal Skaters,quadriceps
FYR Air Squat,quadriceps
FYR Tuck Jump,quadriceps
Push-up sprawl tuck jump,quadriceps
FYR Running Lunge,quadriceps
FYR Jumping Lunge,quadriceps
FYR Sprawl Frog Kick,quadriceps
Jump squat-,quadriceps
FYR Sprinter Burpee,quadriceps
Single-leg burpee,quadriceps
FYR Gorilla Squat,quadriceps
Banded compass jump squat,quadriceps
In-out sprawl,quadriceps
Knee-tuck kick-up,quadriceps
Bear crawl donkey kick,quadriceps
Southpaw sprawl with push-up,quadriceps
Bouncing lunge,quadriceps
Bodyweight Squat - Gethin Variation,quadriceps
FYR Alternating Lunge,quadriceps
Bodyweight Walking Lunge - Gethin Variation,quadriceps
Seated Quad Contraction,quadriceps
HM Squat with Alternating Leg Extension,quadriceps
HM Air Squat,quadriceps
HM Alternating Jump Lunge,quadriceps
HM Alternating Lunge-In-Place,quadriceps
HM Alternating Side Lunge,quadriceps
HM Sumo Pulse,quadriceps
HM Sumo Squat,quadriceps
HM Alternating Side-Kick,quadriceps
HM Tuck-Up Burpee,quadriceps
HM Bear Crawl,quadriceps
HM Bear Stance Fire Hydrant,quadriceps
HM Walking Frankenstein,quadriceps
HM Walking Hip Stretch,quadriceps
HM Wide Jump Squat,quadriceps
HM Boxer Shuffle,quadriceps
HM Running Lunge,quadriceps
HM Bulgarian Split Squat On Chair,quadriceps
HM Burpee,quadriceps
HM Butterfly,quadriceps
HM Alternating Lunge Push-Up,quadriceps
HM Comet,quadriceps
HM Couch Stretch,quadriceps
HM Down Up,quadriceps
HM Duck Walk,quadriceps
HM Fragon,quadriceps
HM Frankenstein,quadriceps
HM Single-Leg Squat on Chair,quadriceps
HM Single-Leg Touchdown,quadriceps
HM Speed Skater,quadriceps
HM Squat Jump,quadriceps
HM Squat Lunge,quadriceps
HM Garland Pose,quadriceps
HM High Knees,quadriceps
HM In-And-Out Squat,quadriceps
HM In-And-Out Squat Jump,quadriceps
HM Jumping Jack,quadriceps
HM Jumping Knee-Up,quadriceps
HM Jumping Rope,quadriceps
HM Right Calf-Spike Sumo Pulse,quadriceps
HM Reverse Lunge with Kick,quadriceps
HM Left Knee-Up,quadriceps
HM Left-Leg Lunge And Kick-Out,quadriceps
HM Mountain Pose,quadriceps
HM Butt Kickers,quadriceps
HM Right-Leg Lunge And Kick-Out,quadriceps
HM Sumo Get-Up,quadriceps
AM Jump Squat,quadriceps
AM Bodyweight Squat,quadriceps
High knees sprawl drill,quadriceps
UP Bulgarian Split Squat,quadriceps
UN Forward Lunge,quadriceps
UN Front Foot Elevated Split Squat,quadriceps
UNS Half-Kneeling Hip Flexor Stretch,quadriceps
UNS Low Depth Jump,quadriceps
UNS Forward-To-Reverse Lunge,quadriceps
Holman Towel Squat Thrust,quadriceps
Holman Towel Alternating Prisoner Squat,quadriceps
Holman Towel Alternating Lateral Lunge,quadriceps
Holman Squat Pull-Through Jump,quadriceps
Holman 180 Jump,quadriceps
Holman Foot-Elevated Knee-Up to Squat,quadriceps
Holman Feet-Elevated Squat Thrust,quadriceps
Holman Hands-Elevated Lunge Jump,quadriceps
Holman Hands-Elevated Jack to Split Jump,quadriceps
Holman Hands-Elevated Wide Squat Thrust,quadriceps
Holman Hands-Elevated Squat Thrust to Split Jack,quadriceps
Holman Squat Jump,quadriceps
Holman Squat Pulse,quadriceps
Holman Jump-Out Push-Up,quadriceps
Holman Alternating Forward Lunge,quadriceps
Holman Burpee to Jump,quadriceps
Holman Pilates Single-Leg Stretch,quadriceps
Holman Alternating Reverse Prisoner Lunge,quadriceps
Holman Narrow-Wide Squat Jump to 180 Jump,quadriceps
Holman 180 Jump to Lunge,quadriceps
Holman Imaginary Jump Rope,quadriceps
Holman Fast Feet with Hands Up,quadriceps
Holman Hands-Elevated Alternating Lunge Jump,quadriceps
Holman Right Split Lunge,quadriceps
Holman Left Split Lunge,quadriceps
Holman Plyometric Jump,quadriceps
